Name,City,Region,Applied,Admitted,Enrolled,Acceptance Rate
UNIVERSITY CITY HIGH,San Diego,San Diego,64,8,3,0.125
UNIVERSITY HIGH SCHOOL,Fresno,Fresno,44,18,9,0.4090909090909091
UNIVERSITY HIGH SCHOOL,Irvine,Orange,235,47,22,0.2
UNIVERSITY HILL SECONDARY SCH,nan,nan,14,5,4,0.35714285714285715
UNIVERSITY OF TORONTO SCHOOLS,nan,nan,16,7,3,0.4375
UNIVERSITY PREP ACADEMY,San Jose,Santa Clara,37,10,7,0.2702702702702703
UNIVERSITY PREPARATORY,Victorville,San Bernardino,38,12,6,0.3157894736842105
UPLAND HIGH SCHOOL,Upland,San Bernardino,72,14,7,0.19444444444444445
USKUDAR AMERICAN ACADEMY,nan,nan,25,9,4,0.36
VACAVILLE HIGH SCHOOL,Vacaville,Solano,40,9,5,0.225
VALENCIA HIGH SCHOOL,Placentia,Orange,94,19,9,0.20212765957446807
VALENCIA HIGH SCHOOL,Valencia,Los Angeles,85,21,8,0.24705882352941178
VALLEY CHRISTIAN HIGH SCHOOL,Dublin,Alameda,10,4,4,0.4
VALLEY CHRISTIAN HIGH SCHOOL,San Jose,Santa Clara,121,21,9,0.17355371900826447
VALLEY HIGH SCHOOL,Sacramento,Sacramento,11,3,3,0.2727272727272727
VALLEY HIGH SCHOOL,Santa Ana,Orange,33,11,7,0.3333333333333333
VAN NUYS HIGH SCHOOL,Van Nuys,Los Angeles,66,21,14,0.3181818181818182
VANDEN HIGH SCHOOL,Fairfield,Solano,37,8,6,0.21621621621621623
VENICE HIGH SCHOOL,Los Angeles,Los Angeles,47,9,3,0.19148936170212766
VENTURA HIGH SCHOOL,Ventura,Ventura,30,10,4,0.3333333333333333
VERDUGO HILLS HIGH SCHOOL,Tujunga,Los Angeles,21,3,3,0.14285714285714285
VIEWPOINT SCHOOL,Calabasas,Los Angeles,57,13,5,0.22807017543859648
