"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","PIKE","President of the United States","StateWide","Green","STEIN, JILL","89","0","0","","","","","","","","",""
"2012 General Election","PIKE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","194","0","0","","","","","","","","",""
"2012 General Election","POTTER","President of the United States","StateWide","Republican","ROMNEY, MITT","5,231","0","0","","","","","","","","",""
"2012 General Election","POTTER","President of the United States","StateWide","Democratic","OBAMA, BARACK","1,897","0","0","","","","","","","","",""
"2012 General Election","POTTER","President of the United States","StateWide","Green","STEIN, JILL","36","0","0","","","","","","","","",""
"2012 General Election","POTTER","President of the United States","StateWide","Libertarian","JOHNSON, GARY","78","0","0","","","","","","","","",""
"2012 General Election","SCHUYLKILL","President of the United States","StateWide","Republican","ROMNEY, MITT","32,278","0","0","","","","","","","","",""
"2012 General Election","SCHUYLKILL","President of the United States","StateWide","Democratic","OBAMA, BARACK","24,546","0","0","","","","","","","","",""
"2012 General Election","SCHUYLKILL","President of the United States","StateWide","Green","STEIN, JILL","286","0","0","","","","","","","","",""
"2012 General Election","SCHUYLKILL","President of the United States","StateWide","Libertarian","JOHNSON, GARY","617","0","0","","","","","","","","",""
"2012 General Election","SNYDER","President of the United States","StateWide","Republican","ROMNEY, MITT","10,073","0","0","","","","","","","","",""
"2012 General Election","SNYDER","President of the United States","StateWide","Democratic","OBAMA, BARACK","4,687","0","0","","","","","","","","",""
"2012 General Election","SNYDER","President of the United States","StateWide","Green","STEIN, JILL","62","0","0","","","","","","","","",""
"2012 General Election","SNYDER","President of the United States","StateWide","Libertarian","JOHNSON, GARY","180","0","0","","","","","","","","",""
"2012 General Election","SOMERSET","President of the United States","StateWide","Republican","ROMNEY, MITT","23,984","0","0","","","","","","","","",""
"2012 General Election","SOMERSET","President of the United States","StateWide","Democratic","OBAMA, BARACK","9,436","0","0","","","","","","","","",""
"2012 General Election","SOMERSET","President of the United States","StateWide","Green","STEIN, JILL","188","0","0","","","","","","","","",""
"2012 General Election","SOMERSET","President of the United States","StateWide","Libertarian","JOHNSON, GARY","334","0","0","","","","","","","","",""
"2012 General Election","SULLIVAN","President of the United States","StateWide","Republican","ROMNEY, MITT","1,868","0","0","","","","","","","","",""
"2012 General Election","SULLIVAN","President of the United States","StateWide","Democratic","OBAMA, BARACK","1,034","0","0","","","","","","","","",""
"2012 General Election","SULLIVAN","President of the United States","StateWide","Green","STEIN, JILL","17","0","0","","","","","","","","",""
